Date, Open, High, Low, Close
06/07/11, 1267.75, 1285.40, 1267.75, 1269.63
06/06/11, 1293.54, 1295.94, 1264.11, 1267.75
06/03/11, 1294.43, 1305.04, 1273.54, 1293.54
06/02/11, 1299.23, 1305.29, 1280.25, 1294.43
06/01/11, 1332.19, 1332.19, 1296.42, 1299.23
05/31/11, 1315.40, 1340.65, 1315.40, 1332.19
05/27/11, 1308.24, 1325.18, 1308.24, 1315.40
05/26/11, 1298.19, 1311.47, 1291.58, 1308.24
05/25/11, 1286.42, 1303.61, 1278.02, 1298.19
05/24/11, 1269.43, 1295.95, 1269.43, 1286.42
05/23/11, 1288.68, 1288.68, 1259.47, 1269.43
05/20/11, 1290.86, 1299.94, 1279.49, 1288.68
05/19/11, 1289.11, 1301.04, 1282.23, 1290.86
05/18/11, 1272.09, 1297.11, 1269.52, 1289.11
05/17/11, 1271.56, 1276.54, 1256.11, 1272.09
05/16/11, 1282.53, 1294.83, 1268.19, 1271.56
05/13/11, 1292.18, 1297.43, 1270.11, 1282.53
05/12/11, 1299.10, 1299.10, 1271.44, 1292.18
05/11/11, 1337.81, 1337.81, 1293.27, 1299.10
05/10/11, 1329.20, 1342.53, 1322.15, 1337.81
05/09/11, 1308.09, 1335.66, 1308.09, 1329.20
05/06/11, 1301.69, 1335.24, 1297.79, 1308.09
05/05/11, 1335.10, 1335.10, 1289.50, 1301.69
05/04/11, 1359.19, 1359.19, 1323.97, 1335.10
05/03/11, 1393.99, 1393.99, 1348.77, 1359.19
05/02/11, 1402.96, 1409.79, 1387.32, 1393.99
